Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Louvet_Annee	53.R34																 Paris	Paris	48.856944444444,2.3513888888889	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 23	 Varsovie	Varsovie	52.216666666667,21.033333333333	https://www.wikidata.org/wiki/Q270	 22
Lesuire_Crime	60.28	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 132 						 Lyon	Lyon	45.758888888889,4.8413888888889	https://www.wikidata.org/wiki/Q456	 57	 Couvent	couvent			https://www.wikidata.org/wiki/Q1128397	 48					
Voltaire_Princesse	61.17	Babylone	Babylone	32.541780555556,44.431644444444	https://www.wikidata.org/wiki/Q5684	 77 	 Amazan	 Amazan			 48	 Égypte	Égypte	27,29	https://www.wikidata.org/wiki/Q79	 33							 Scythes	Scythes		https://www.wikidata.org/wiki/Q131802	 19
Barthelemy_Voyage	91.44	Grèce	Grèce	38.5,23	https://www.wikidata.org/wiki/Q41	 440 	 Athènes	Athènes	37.98416666666667,23.728055555555557	https://www.wikidata.org/wiki/Q1524	 280	 athéniens	Athènes	37.98416666666667,23.728055555555557	https://www.wikidata.org/wiki/Q1524	 206	 Lacédémone	 Lacédémone				 135	 Sicile	Sicile	37.566666666667,14.266666666667	https://www.wikidata.org/wiki/Q4951156	 104
Sade_Infortunes	98.84						 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 25						 Lyon	 Lyon				 19					
Riccoboni_Histoire	76.44						 Cressy	 Cressy			 28						 Chelles	 Chelles				 7	 Gersay	 Gersay			 6
Riccoboni_LettreJuliette	84.58	Erford	Erford			 34 	 Vinchester	 Vinchester			 29	 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 27	 Montfort	 Montfort				 9					
Rosny_Firmin	83.48	Stainville	Stainville	48.653611111111,5.1855555555556	https://www.wikidata.org/wiki/Q210672	 21 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 17	 Thomill	 Thomill			 10	 Liège	Liège	50.639722222222225,5.570555555555556	50.639722222222225,5.570555555555556	https://www.wikidata.org/wiki/Q3992	 7	 Orl	 Orl			 6
Voltaire_Micromegas	79.31	Saturne	Saturne		https://www.wikidata.org/wiki/Q193	 13 	 Micromégas	Micromégas		https://www.wikidata.org/wiki/Q1785978	 10	 Sirius	Sirius		https://www.wikidata.org/wiki/Q3409	 4	 Jupiter	Jupiter			https://www.wikidata.org/wiki/Q319	 4	 mer Baltique	mer Baltique	58,20	https://www.wikidata.org/wiki/Q545	 3
Sade_120	98.85						 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 39	 Zélamir	 Zélamir			 38	 Michette	Michette			https://www.wikidata.org/wiki/Q6747596	 38					
Retif_Paysanne	58.17						 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 69	 Fanchette	 Fanchette			 56	 Lagouache	 Lagouache				 47	 Parangon	 Parangon			 39
Constant_Laure2	59.22	Marville	Marville	49.452222222222,5.4558333333333	https://www.wikidata.org/wiki/Q59176	 43 						 Flamacour	 Flamacour			 14	 Paris	Paris	48.856944444444,2.3513888888889	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 12	 Taninge	Taninges	46.1075,6.5913888888889	https://www.wikidata.org/wiki/Q369188	 10
Sade_Justine	67.44	Dubois	Dubois			 49 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 26	 Lyon	Lyon	45.758888888889,4.8413888888889	https://www.wikidata.org/wiki/Q456	 25	 Cardoville	 Cardoville				 21					
Lagrave_Zabeth	57.12	Saint-Silvain	Saint-Silvain			 120 	 Combe	 Combe			 39	 Fermon	 Fermon			 27	 Wilton	 Wilton				 21	 Boulogne	bois de Boulogne	48.864722222222,2.2508333333333	https://www.wikidata.org/wiki/Q209626	 17
Diderot_Jacques	64.39	Desglands	Desglands			 27 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 19	 Arcis	 Arcis			 15	 Merval	 Merval				 13	 Gaine	 Gaine			 9
Gerard_Comte	77.57						 Senneville	 Senneville			 44						 Est	est			https://www.wikidata.org/wiki/Q684	 8	 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 8
