,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
sembloit,1,0,5,0,8,3,0,0,7,7,0,0,0,0,0,7,5,0,0,0,0,5,11,0,0,10,4,4,12,0,1,22,6,9,0,19,3,5,5,4,1,0,6,1,0,0,10,2,11,10,0,1,10,1,0,0,0,0,4,5,0,0,225
sylvina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
alloit,1,7,8,0,3,1,0,0,8,15,0,0,0,0,0,6,0,0,0,0,0,10,8,0,0,1,5,5,6,0,15,33,7,7,0,18,9,6,6,2,0,0,2,1,0,0,5,2,5,10,0,2,3,2,0,0,0,0,4,1,0,0,224
foible,0,8,8,1,8,3,0,0,2,5,0,0,0,0,0,4,0,0,0,0,0,7,4,0,0,3,4,3,7,0,17,10,3,12,0,5,3,12,12,4,3,0,16,14,0,0,7,3,7,4,0,2,4,7,0,0,0,0,2,2,0,0,216
paroître,1,9,9,0,2,5,0,0,5,7,0,0,0,0,0,6,6,0,0,0,0,6,4,0,0,12,5,3,3,0,9,30,8,2,0,9,7,2,2,2,5,0,14,9,0,0,16,5,4,2,0,0,1,2,0,0,0,0,0,0,0,0,212
graces,1,0,8,0,0,2,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,3,0,4,2,13,7,4,5,0,2,4,5,4,0,8,3,2,2,4,11,1,12,7,10,0,19,9,10,8,8,0,1,12,0,0,0,0,4,1,0,0,202
connoissance,3,0,3,0,3,7,0,0,7,8,0,0,0,0,0,7,2,0,0,0,0,0,1,0,0,1,7,35,11,0,5,32,4,3,0,4,9,1,1,5,0,0,3,0,0,0,10,5,1,3,0,4,6,0,0,0,0,0,7,2,0,0,200
blas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
emile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,176,0,0,0,0,0,0,0,0,0,197
paroissoit,1,0,3,0,0,2,0,0,5,5,0,0,0,0,0,4,2,0,0,0,0,2,2,0,0,15,7,6,9,0,5,28,2,6,0,29,14,4,4,3,2,0,10,11,0,0,7,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,195
bianca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
madrid,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,158,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,193
