PER;LOC;PER but no NE;LOC but no NE;No NE (PER);No NE (LOC);Categorised PER, is LOC;Categorised LOC, is PER;Categorised PER, is LOC (no NE);Categorised LOC, is PER (no NE)
Madame de Rougeon;;;;;Minois;;;;
Mademoiselle de Rougeon;;;;;;;;;Cordelier
Gaudricour;Neuchâtel;;;;;;;;
Gavri;A Neuchâtel;;;;;;;;
Mlle. de Germosan;;;;;Hier;;;;
Mr. de St. Ange;Francfort;;;;;;;;
Mde;Genève;;;;;;;;
Mlle. de Mirfor;Cret;;;;;;;;
M. de St. Ange;;;;;Samedi;;;;
Mr. de Germosan;Neubourg;;;;;;;;
Clissi;;;;;écombre;;;;
Joannetti;Rosange;;;;;;;;
Rosine;Fritzierne;;;;;;;;
madame de Hautcastel;Bohême;;;;;;;;
Hippocrate;Ermancé;;;;;;;;
Périclès;château de Fritzierne;;;;;;;;
Madame Parangon;Forly;;;;;;;;
Pierrot;Belverne;;;;;;;;
M Gaudet;Clarence;;;;;;;;
Bertrand;Félici;;;;;;;;
Tiennete;Rosemont;;;;;;;;
Parménide;Stéphanie;;;;;;;;
Ménalque;Florizene;;;;;;;;
Palémon;Rosenne;;;;;;;;
Glycère;Vienne;;;;;;;;
Agathon;Hongrie;;;;;;;;
Ariadne;Turquie;;;;;;;;
Xénophane;Constantinople;;;;;;;;
M. Dabaud;Nantes;;;;;;;;
Dubert;;;;;;;Hélene;;
Dabaud;Ste. Anne;;;;;;;;
Roger;Tonquedec;;;;;;;;
Germeuil;Missillac;;;;;;;;
Matilde;Rhedon;;;;;;;;
Vivaldi;Auray;;;;;;;;
Mazzini;Vannes;;;;;;;;
Julia;;;;;;;Mademoiselle de Rhedon;;
Curval;Estival;;;;;;;;
Duclos;Merille;;;;;;;;
Augustine;Benga;;;;;;;;
Zelmire;;;;;;;;;Princes
Durcet;;;;;Trône;;;;
Guérin;Mouba;;;;;;;;
Desgranges;Almenza;;;;;;;;
Traitdamour;Faramine;;;;;;;;
Guaé;Florville;;;;;;;;
Vitnègre;Sancerre;;;;;;;;
Conquette;Salins;;;;;;;;
Fysitère;Saint-Surin;;;;;;;;
Brisemotte;Stockholm;;;;;;;;
Timori;Artidore;;;;;;;;
Tendrelys;Mœris;;;;;;;;
Madeleine;;;;;;;;;Érastre
Periphas;;;;;;;Téolinde;;
Apollon;Florise;;;;;;;;
Elmedor;Nisida;;;;;;;;
Erectée;Golconde;;;;;;;;
Cécrops;Molinos;;;;;;;;
Ociroé;;;;;rosée;;;;
Cheron;;;;;etle soleil;;;;
Jupiter;Géorgie;;;;;;;;
Atheniens;Circassie;;;;;;;;
Emile;;;;;gand;;;;
Émile;;;;;;;Volsan;;
;Amérique;;;LA BONNE;;;;;
Télémaque;Grande-Bretagne;;;;;;;;
Locke;;;;;anglais.-Très-volontiers;;;;
;Porto;;;LA PETITE;;;;;
Suzette;Saint-Thomin;;;;;;;;
M Chenu;Cherbel;;;;;;;;
Madame Depréval;Rolle;;;;;;;;
M De Senneterre;Magistrat;;;;;;;;
Madame De Senneterre;Russes;;;;;;;;
M Birton;;;;;Ust;;;;
Cudard;;;;;Misantrophiles;;;;
Solange;Bude;;;;;;;;
Juliette;;;;;;;;;Peintre
Lindane;Pradislas;;;;;;;;
Claudin;Russe;;;;;;;;
M. de Roqueval;;;;;;;Mirback;;
Béatrix;Trémicour;;;;;;;;
M. Cudard;;;;;Seine;;;;
Ambroise;;;;;;;;;Carpentier
;Dandrillon;Moine;;;;;;;
Saturnin;;;;;apperçût;;;;
Cordelier;Cafieri;;;;;;;;
Pere Polycarpe;;;;;;;;;Fées
Madame Marcelle;Folleville;;;;;;;;
Mlle de La Prise;Valrose;;;;;;;;
Henri Meyer;Succarino;;;;;;;;
Comte Max;Mondor;;;;;;;;
Godefroy;AUMÔNIER;;;;;;;;
Monin;;;;;;;;;Taïtien
H. MEYER;;;;;;;;;Taïtiens
Jeanne-Aimée;Bougainville;;;;;;;;
Victor;Taïti;;;;;;;;
Clémence;;;;;;;;;Taïtienne
Valentin;Orou;;;;;;;;
madame Wolf;détroit de Magellan;;;;;;;;
Fritz;Fleur-De-Myrte;;;;;;;;
Michel;Alérie;;;;;;;;
madame du Sézil;Damas;;;;;;;;
Fernand;soudan;;;;;;;;
Florizene;Barin;;;;;;;;
Madame de Céléria;Syrie;;;;;;;;
Dom Lope;Palestine;;;;;;;;
Stéphanie;Vitulos;;;;;;;;
Eléonore;Saragosse;;;;;;;;
Rosemont;Domfront;;;;;;;;
Milord Rosemont;Égypte;;;;;;;;
Mademoiselle Tekely;Tanis;;;;;;;;
Madame Olasmir;Memphis;;;;;;;;
Angélique;Nil;;;;;;;;
Mademoiselle De Créon;Mambrès;;;;;;;;
Lucas;Ragès;;;;;;;;
Valaquie;Inde;;;;;;;;
Madame Seleutzy;Thèbes;;;;;;;;
Mademoiselle De;Trénel;;;;;;;;
Ragotsky;Mercourt;;;;;;;;
Madame de Ste. Anne;;;;;mienne;;;;
Mademoiselle de Rhedon;;;;;jouirai;;;;
Ste. Anne;Vante;;;;;;;;
Kerber;;;;;embrassois;;;;
Herfrey;Partez;;;;;;;;
Tonquedec;Anglesey;;;;;;;;
Madame de Rieux;;;;;;;Lidy;;
Merille;Oxford;;;;;;;;
;;;;;écosse;Angole;;;
Angoulmouëk;Irlande;;;;;;;;
Princes d’Angole;Windsor;;;;;;;;
;Islington;La Reine;;;;;;;
Zelima;Paros;;;;;;;;
Herman;Smyrne;;;;;;;;
Laurence;Portugal;;;;;;;;
Granwel;Tunis;;;;;;;;
Williams;Levant;;;;;;;;
Charles;;;;;;;Mélanie;;
Rodrigue;Picardie;;;;;;;;
Monrevel;;;;;offensée.-Elle;;;;
Élicio;;;;;Sois;;;;
Timbrio;;;;;;;Lucie:-Monsieur;;
Nisida;;;;;;;vertus?-Lucie;;
Cervantes;;;;;sécherai;;;;
Blanche;Sydney;;;;;;;;
Téolinde;Sylvino;;;;;;;;
;Caffardot;;;;;Salvador;;;
Pransile;Argentine;;;;;;;;
Marquise De Castelmont;Belval;;;;;;;;
Madame De Castelmont;Soligny;;;;;;;;
Arlequin;Bath;;;;;;;;
