,Merard_Bergeries,Lesuire_Crime1,Ducray_Cinquante1,Constant_Laure2,Loaisel_Lucile,Kimber_Thompson2,LaPlace_Lydia,Puget_Periphas_1,Florian_Estelle,Morelly_Naufrage2,Kimber_Thompson,Puget_Periphas_2,Fourqueux_Zély,Beauharnais_Lettres,Florian_Galatée,Jacquant_Lettres,Benouville_Pensees,Gorjy_Voyage,Abbes_Voyage,Leonard_Lettres1,Popeliniere_Daira_2,Benoist_Elisabeth3,Lagrave_Sophie1,Sacy_Amours,Lagrave_Zabeth1,Tiphaigne_Galligenes_1,Constant_Laure,Beaumont_Clarice,Jacquin_Parisiennes2,Popeliniere_Daira_1,Lesuire_Aventurier1,Morelly_Naufrage,Meissner_Histoire1,Doppet_Memoires,Loaisel_Comtesse,LaPlace_Collection,Tiphaigne_Galligenes_2,sum
vîte,3,8,3,13,2,4,0,0,7,0,4,0,1,4,3,0,5,4,0,2,0,0,1,0,1,0,10,0,0,1,7,0,3,0,2,0,1,89
thompson,0,0,0,0,0,57,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
laissoit,2,4,0,1,3,4,3,4,1,3,3,0,0,0,2,9,0,0,0,2,1,1,0,0,8,2,5,0,1,3,4,3,1,3,3,8,3,87
villebrun,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
céléria,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
trouvois,1,4,0,2,0,5,2,1,0,1,5,0,0,0,1,6,1,0,1,4,0,1,0,0,2,0,3,0,2,1,10,0,0,6,0,27,0,86
peres,0,0,0,0,0,5,0,8,0,8,8,3,0,1,1,2,2,0,0,4,5,0,0,0,0,3,0,0,3,5,5,9,1,8,3,0,1,85
s'étoient,0,2,0,4,2,2,1,4,4,1,1,10,0,1,2,1,1,0,0,2,0,0,0,3,4,4,1,0,3,2,4,6,0,3,2,10,5,85
rosemont,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
bergere,52,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84
paroissent,0,4,0,3,1,1,0,0,0,15,1,2,0,3,1,5,12,0,0,5,0,1,0,0,0,0,4,0,2,1,7,11,0,1,2,1,1,84
fidele,7,0,0,0,0,24,2,4,0,0,3,2,5,2,7,0,0,0,0,2,5,0,0,0,0,0,0,0,0,8,1,0,1,3,6,0,1,83
élicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
hazard,0,0,0,2,3,4,7,0,0,9,6,3,5,1,0,3,0,0,1,0,1,0,0,1,0,4,3,0,2,0,0,11,0,1,0,15,0,82
luzan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
commençoit,1,0,0,1,7,0,5,2,3,2,5,4,0,1,3,4,0,0,0,1,0,0,0,3,4,2,0,0,3,0,4,6,1,4,7,5,2,80
connoissances,0,4,0,6,0,4,2,3,0,3,9,0,0,0,0,3,2,1,0,0,0,1,0,0,1,9,6,0,4,0,1,0,0,11,0,8,2,80
portoit,2,0,0,5,2,3,0,0,7,6,1,9,0,2,2,0,1,0,0,2,1,1,0,1,9,0,4,1,1,2,4,4,1,0,2,5,2,80
passoit,2,2,0,1,3,6,0,3,1,0,5,0,0,1,2,2,1,0,0,1,3,0,0,0,6,3,3,1,1,7,8,1,0,5,3,6,3,80
sophie,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,5,0,0,0,0,0,0,0,0,0,0,80
étois,0,2,0,4,2,3,7,0,0,0,4,2,0,1,2,5,1,0,0,6,0,3,0,0,1,0,1,0,3,4,8,1,2,5,2,10,0,79
flour,0,10,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,79
rendoit,1,4,0,1,1,3,2,3,3,2,2,1,0,2,2,11,0,0,0,2,1,2,0,0,4,1,2,0,3,2,2,3,1,8,1,8,1,79
mirtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,79
aimoit,2,0,0,1,5,2,2,1,8,4,0,0,0,1,4,0,0,0,0,2,0,0,0,1,15,1,5,0,1,1,3,1,2,1,5,6,4,78
venois,2,0,0,3,0,2,0,0,4,0,4,0,0,3,0,10,1,0,3,2,2,0,0,0,0,1,2,0,6,4,8,1,1,6,0,12,0,77
isle,0,0,0,1,0,0,0,7,1,33,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,11,0,0,1,0,0,0,6,77
connoissoit,1,1,0,0,7,2,3,2,1,0,3,0,0,1,3,5,1,0,0,1,1,1,0,2,3,1,0,0,0,3,6,2,0,5,7,11,4,77
fernand,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
vû,0,0,0,0,0,1,2,0,0,1,0,1,4,0,0,4,11,0,3,1,3,9,0,8,0,0,0,0,0,16,2,5,0,0,0,5,0,76
